host no.,Capture date,Capture loc.,Sex,group,SLV(mm),Leg(mm),WT(g),infection,nematode,trematode,cestode,acanthocephlan,pentastomids,total
D001,20150710,B,M,BM,71.5,76.1,40.72,yes,0,0,4,0,0,45
D002,20150710,B,F,BF,39.6,49.9,8.45,no,0,0,0,0,0,8
D003,20150722,B,F,BF,49.2,53.1,14.76,yes,0,0,1,0,0,16
D004,20150722,B,M,BM,65,74.9,33.9,yes,24,0,0,0,0,58
D010,20150909,B,F,BF,93.8,95.5,99.11,yes,270,211,0,1,0,370
D015,20150930,B,F,BF,70.3,73.6,59.5,yes,12,2,12,2,0,86
D016,20150930,B,F,BF,86,88.2,109.47,yes,70,96,0,1,0,180
D017,20150930,B,F,BF,90.4,89.45,110.76,yes,114,26,0,4,0,229
D018,20150930,B,F,BF,99.7,100,114.49,yes,118,26,0,8,0,240
D019,20151009,B,M,BM,54.7,61.3,17.63,no,0,0,0,0,0,18
D020,20151009,B,M,BM,59,61.1,25.65,yes,2,0,0,0,0,28
D021,20151009,B,F,BF,79.6,65.6,40.03,yes,29,0,0,0,0,69
D022,20151009,B,F,BF,61.65,73.5,31.09,yes,10,0,0,0,0,41
D031,20160409,B,F,BF,81.35,100.2,84.42,yes,109,404,5,4,0,202
D032,20160415,B,M,BM,70.5,83.8,50.83,yes,13,0,0,2,0,66
D033,20160415,B,F,BF,91.3,74.85,107.2,yes,76,362,2,15,0,200
D034,20160421,B,F,BF,93.25,75.2,111.89,yes,205,0,5,0,0,322
D035,20160415,B,M,BM,68.1,76.4,49.26,yes,50,0,0,1,0,100
D036,20160418,B,F,BF,81.7,71.05,73.58,yes,17,0,0,4,0,95
D039,20160418,B,F,BF,94,107,82.78,yes,29,0,0,0,0,112
D005,20150805,N,F,NF,37.3,41.2,7.56,yes,5,0,0,7,0,20
D006,20150805,N,M,NM,44,56,10.97,yes,3,0,0,18,0,32
D007,20150805,N,M,NM,55,70,21.56,yes,21,0,0,0,0,43
D008,20150805,N,F,NF,65.35,73.3,25.4,yes,23,1,0,0,0,48
D009,20150805,N,F,NF,95.2,111.6,160.89,yes,150,858,0,0,3,314
D011,20150916,N,M,NM,51.1,69.7,21.64,yes,2,0,5,6,1,36
D012,20150916,N,M,NM,54.85,63.17,16.15,yes,1,0,0,3,0,20
D013,20150916,N,M,NM,63.3,75.4,30.21,yes,27,1,0,4,0,61
D014,20150916,N,M,NM,61.4,73,31.11,yes,12,0,0,2,4,49
D023,20160309,N,M,NM,57.75,78.1,29.31,yes,31,0,0,163,0,223
D024,20160309,N,M,NM,55.7,69,23.12,yes,1,0,0,0,0,24
D025,20160309,N,M,NM,52.8,63.1,20.47,yes,0,0,0,1,0,21
D026,20160309,N,M,NM,63.8,81.2,33.15,yes,8,2,0,3,0,44
D027,20160309,N,M,NM,60.1,71,27.28,yes,21,6,0,2,0,50
D028,20160316,N,M,NM,58.1,69.15,24.14,yes,20,0,0,1,0,45
D029,20160316,N,M,NM,59,72.8,28.7,yes,6,1,0,0,0,35
D030,20160316,N,F,NF,93.45,90.75,95.85,yes,76,0,0,2,0,174
D037,20160515,N,M,NM,74.3,87.2,40.62,yes,9,0,0,62,0,112
D038,20160515,N,M,NM,74,75,32.22,yes,31,0,0,8,0,71
D040,20160515,N,M,NM,58,68,24.08,yes,3,3,0,0,0,27
D041,20160515,N,M,NM,64,81,27.99,yes,28,0,0,0,0,56
D042,20160515,N,M,NM,70.8,78.55,48.1,yes,25,0,0,5,22,100
